,aspergillus_flavus,aspergillus_nidulans,aspergillus_niger,blumeria_graminis,botrytis_cinerea,candida_albicans,coccidioides_posadasii,colletotrichum_higginsianum,cryptococcus_neoformans,saccharomyces_cerevisiae,schizosaccharomyces_pombe,trichoderma_reseei,verticillium_dahliae,yarrowia_lipolytica,zymoseptoria_tritici,fusarium_graminearum,trichophyton_rubrum,ustilago_maydis,fusarium_oxysporum,gaeumannomyces_graminis,grosmannia_clavigera,kluyveromyces_lactis,magnaporthe_oryzae,neurospora_crassa,pichia_membranifaciens,tuber_melanosporum
-173,0.0041666667,0.025,0.0222222222,0,0.0142857143,0.0240963855,0.0111111111,0.04,0.025,0.0018867925,0.0083333333,0.0021276596,0.0094339623,0,0.04,0,0,0.0158730159,0,0.0052631579,0.0079365079,0.0052631579,0.0097560976,0.004,0.0157894737,0.0310344828
-172,0.0041666667,0.015,0.0277777778,0,0.0047619048,0.021686747,0.0063492063,0.04,0.0357142857,0.0037735849,0.0104166667,0.0021276596,0.0132075472,0,0.04,0,0,0.0142857143,0,0.0105263158,0.0079365079,0.0052631579,0.0097560976,0.004,0.0157894737,0.0310344828
-171,0.0041666667,0.01,0.0166666667,0,0.0047619048,0.0192771084,0.0095238095,0.04,0.0357142857,0.0056603774,0.0083333333,0.0021276596,0.0169811321,0,0.03,0.0066666667,0,0.0142857143,0,0.0105263158,0.0095238095,0.0052631579,0.0097560976,0.004,0.0210526316,0.0344827586
-170,0.0041666667,0.01,0.0166666667,0.0058823529,0.0142857143,0.0168674699,0.0063492063,0.04,0.0357142857,0.0056603774,0.0083333333,0.0021276596,0.0169811321,0,0.03,0.0133333333,0,0.0142857143,0,0.0105263158,0.0079365079,0.0052631579,0.0097560976,0.004,0.0245614035,0.0344827586
-169,0,0.005,0.0166666667,0.0058823529,0.0142857143,0.0144578313,0.0047619048,0.04,0.0357142857,0.0056603774,0.0083333333,0.0021276596,0.020754717,0,0.04,0.0133333333,0,0.0174603175,0,0.0105263158,0.0079365079,0.0052631579,0.0073170732,0.004,0.0245614035,0.0310344828
-168,0.0041666667,0.01,0.0166666667,0.0058823529,0.0142857143,0.013253012,0.0063492063,0.02,0.0321428571,0.0056603774,0.0104166667,0.0021276596,0.020754717,0,0.05,0.0133333333,0,0.019047619,0,0.0157894737,0.0079365079,0.0052631579,0.0097560976,0.008,0.0280701754,0.0275862069
-167,0.0041666667,0.01,0.0166666667,0.0058823529,0.0095238095,0.013253012,0.0079365079,0,0.0285714286,0.0075471698,0.0145833333,0.0021276596,0.0245283019,0,0.05,0.0133333333,0,0.0158730159,0,0.0157894737,0.0079365079,0.0052631579,0.0073170732,0.008,0.0245614035,0.0275862069
-166,0.0125,0.015,0.0166666667,0.0058823529,0.0095238095,0.013253012,0.0111111111,0,0.0285714286,0.0094339623,0.0166666667,0.0021276596,0.0245283019,0,0.05,0.0133333333,0,0.0174603175,0,0.0157894737,0.0063492063,0.0026315789,0.0073170732,0.008,0.0245614035,0.0310344828
-165,0.0166666667,0.015,0.0111111111,0.0058823529,0.0095238095,0.013253012,0.0111111111,0,0.0214285714,0.0094339623,0.0125,0.0021276596,0.0264150943,0,0.04,0.0133333333,0,0.0142857143,0,0.0157894737,0.0047619048,0.0026315789,0.0073170732,0.004,0.0245614035,0.0310344828
-164,0.0208333333,0.035,0.0055555556,0.0058823529,0.0142857143,0.013253012,0.0111111111,0,0.025,0.0094339623,0.0145833333,0.0042553191,0.0245283019,0,0.03,0.0133333333,0,0.0111111111,0,0.0157894737,0.0047619048,0.0026315789,0.0073170732,0.008,0.0263157895,0.0172413793
-163,0.025,0.03,0.0111111111,0.0117647059,0.019047619,0.0156626506,0.0111111111,0,0.0285714286,0.0094339623,0.0166666667,0.0042553191,0.0264150943,0,0.04,0.0133333333,0,0.0126984127,0,0.0157894737,0.0047619048,0,0.0048780488,0.008,0.0280701754,0.0068965517
-162,0.025,0.035,0.0055555556,0.0117647059,0.019047619,0.0156626506,0.0111111111,0,0.025,0.0075471698,0.01875,0.0042553191,0.0226415094,0.0021276596,0.06,0.0133333333,0,0.0142857143,0,0.0105263158,0.0047619048,0,0.0073170732,0.008,0.0280701754,0.0068965517
-161,0.0291666667,0.035,0.0111111111,0.0117647059,0.0285714286,0.0156626506,0.0079365079,0,0.0285714286,0.0075471698,0.01875,0.0042553191,0.0188679245,0.0021276596,0.09,0.0066666667,0,0.0142857143,0,0.0157894737,0.0047619048,0,0.0048780488,0.008,0.0228070175,0.0034482759
-160,0.0291666667,0.035,0.0111111111,0.0058823529,0.019047619,0.0144578313,0.0095238095,0,0.0285714286,0.0056603774,0.0208333333,0.0042553191,0.0169811321,0.0042553191,0.11,0,0,0.0142857143,0.0058823529,0.0157894737,0.0063492063,0,0.0048780488,0.012,0.0175438596,0.0068965517
-159,0.0291666667,0.035,0.0111111111,0.0058823529,0.019047619,0.013253012,0.0079365079,0,0.0285714286,0.0075471698,0.0208333333,0.0042553191,0.0132075472,0.0042553191,0.12,0,0,0.0095238095,0.0058823529,0.0157894737,0.0079365079,0,0.0048780488,0.012,0.0175438596,0.0103448276
-158,0.025,0.03,0.0111111111,0.0058823529,0.0238095238,0.0156626506,0.0079365079,0,0.0321428571,0.0075471698,0.01875,0.0063829787,0.020754717,0.0063829787,0.13,0,0,0.0063492063,0.0058823529,0.0105263158,0.0063492063,0.0026315789,0.0024390244,0.008,0.0157894737,0.0172413793
-157,0.025,0.035,0.0111111111,0.0058823529,0.0238095238,0.0192771084,0.0095238095,0,0.0285714286,0.0056603774,0.0166666667,0.0085106383,0.0188679245,0.0063829787,0.13,0,0,0.0079365079,0.0058823529,0.0052631579,0.0063492063,0.0026315789,0.0024390244,0.008,0.0175438596,0.0206896552
-156,0.0166666667,0.04,0.0111111111,0.0058823529,0.0285714286,0.0204819277,0.0079365079,0,0.025,0.0056603774,0.0145833333,0.0085106383,0.0188679245,0.0063829787,0.13,0,0,0.0063492063,0.0058823529,0.0052631579,0.0063492063,0.0026315789,0.0048780488,0.008,0.0175438596,0.0172413793
-155,0.0125,0.05,0.0111111111,0.0058823529,0.0285714286,0.0204819277,0.0111111111,0,0.0321428571,0.0056603774,0.01875,0.0085106383,0.0169811321,0.0063829787,0.14,0,0,0.0063492063,0.0058823529,0.0052631579,0.0079365079,0.0026315789,0.0048780488,0.008,0.0157894737,0.0206896552
-154,0.0083333333,0.035,0.0111111111,0.0058823529,0.0285714286,0.0204819277,0.0126984127,0,0.0285714286,0.0056603774,0.0166666667,0.0063829787,0.0169811321,0.0063829787,0.15,0,0,0.0047619048,0.0058823529,0.0052631579,0.0079365079,0.0026315789,0.0073170732,0.004,0.0122807018,0.0206896552
-153,0.0041666667,0.04,0.0055555556,0,0.0238095238,0.0180722892,0.0126984127,0,0.025,0.0075471698,0.0145833333,0.0042553191,0.0132075472,0.0063829787,0.14,0,0,0.0047619048,0.0058823529,0.0052631579,0.0079365079,0.0026315789,0.0073170732,0.004,0.0105263158,0.0206896552
-152,0.0041666667,0.035,0.0111111111,0,0.0238095238,0.0180722892,0.0126984127,0,0.0214285714,0.0075471698,0.0104166667,0.0042553191,0.0169811321,0.0042553191,0.12,0,0,0.0047619048,0.0117647059,0.0052631579,0.0095238095,0.0026315789,0.0073170732,0.004,0.0105263158,0.024137931
-151,0,0.04,0.0055555556,0.0058823529,0.0142857143,0.0180722892,0.0142857143,0,0.0178571429,0.0075471698,0.0104166667,0.0042553191,0.0188679245,0.0042553191,0.08,0,0,0.0047619048,0.0117647059,0,0.0095238095,0.0026315789,0.0073170732,0.004,0.0105263158,0.024137931
-150,0,0.045,0.0055555556,0.0058823529,0.0142857143,0.0180722892,0.0142857143,0.02,0.0214285714,0.0075471698,0.0125,0.0063829787,0.0188679245,0.0021276596,0.06,0,0,0.0063492063,0.0117647059,0,0.0079365079,0.0026315789,0.0073170732,0,0.0140350877,0.0206896552
-149,0,0.055,0.0055555556,0.0058823529,0.0238095238,0.0192771084,0.0142857143,0.02,0.0214285714,0.0075471698,0.0145833333,0.0085106383,0.0150943396,0.0021276596,0.04,0,0,0.0063492063,0.0117647059,0,0.0095238095,0.0052631579,0.0073170732,0,0.0192982456,0.0172413793
-148,0,0.055,0.0111111111,0.0058823529,0.019047619,0.0180722892,0.0142857143,0.02,0.0285714286,0.0075471698,0.0166666667,0.0063829787,0.0075471698,0,0.02,0,0,0.0063492063,0.0117647059,0,0.0126984127,0.0026315789,0.0097560976,0,0.0210526316,0.0137931034
-147,0.0041666667,0.05,0.0111111111,0.0058823529,0.019047619,0.0144578313,0.0111111111,0.02,0.0285714286,0.0075471698,0.0166666667,0.0042553191,0.0056603774,0,0.02,0,0,0.0063492063,0.0117647059,0,0.0111111111,0.0026315789,0.012195122,0,0.0210526316,0.0103448276
-146,0.0041666667,0.045,0.0111111111,0.0058823529,0.0142857143,0.013253012,0.0111111111,0.02,0.0321428571,0.0056603774,0.0166666667,0.0042553191,0.0056603774,0,0.02,0.0066666667,0,0.0063492063,0.0117647059,0,0.0142857143,0.0052631579,0.0097560976,0,0.0210526316,0.0103448276
-145,0.0041666667,0.035,0.0111111111,0.0058823529,0.0142857143,0.0144578313,0.0095238095,0.02,0.025,0.0075471698,0.0125,0.0042553191,0.0056603774,0,0.02,0.0066666667,0,0.0079365079,0.0117647059,0.0052631579,0.0126984127,0.0052631579,0.0097560976,0,0.0210526316,0.0068965517
-144,0.0083333333,0.04,0.0111111111,0.0058823529,0.0095238095,0.0144578313,0.0095238095,0.02,0.0214285714,0.0113207547,0.0166666667,0.0042553191,0.0132075472,0,0.01,0.0066666667,0,0.0111111111,0.0117647059,0.0052631579,0.0126984127,0.0078947368,0.0073170732,0.004,0.0192982456,0.0068965517
-143,0.0083333333,0.035,0.0111111111,0.0058823529,0.0095238095,0.0168674699,0.0126984127,0.02,0.0214285714,0.0094339623,0.0166666667,0.0085106383,0.0132075472,0,0.01,0.0066666667,0,0.0126984127,0.0117647059,0.0052631579,0.0142857143,0.0078947368,0.0073170732,0.004,0.0175438596,0.0137931034
-142,0.0083333333,0.04,0.0055555556,0.0058823529,0.0142857143,0.0168674699,0.0142857143,0.02,0.0178571429,0.0132075472,0.0166666667,0.0085106383,0.0094339623,0,0.01,0.0066666667,0,0.0126984127,0.0058823529,0.0052631579,0.0142857143,0.0105263158,0.0048780488,0.004,0.0192982456,0.0103448276
-141,0.0083333333,0.045,0.0055555556,0.0058823529,0.0238095238,0.021686747,0.0126984127,0.02,0.0178571429,0.0113207547,0.01875,0.0085106383,0.0094339623,0,0.02,0.0066666667,0,0.0142857143,0.0058823529,0.0052631579,0.0126984127,0.0105263158,0.0048780488,0.004,0.0228070175,0.0172413793
-140,0.0083333333,0.045,0.0055555556,0.0058823529,0.0238095238,0.0204819277,0.0111111111,0,0.0142857143,0.0113207547,0.0145833333,0.0085106383,0.0113207547,0,0.02,0.0066666667,0,0.0142857143,0,0.0052631579,0.0126984127,0.0105263158,0.0048780488,0.008,0.0228070175,0.0206896552
-139,0.0083333333,0.035,0.0055555556,0.0058823529,0.0142857143,0.0204819277,0.0111111111,0,0.0142857143,0.0094339623,0.0125,0.0085106383,0.0113207547,0,0.02,0.0133333333,0.01,0.0158730159,0.0058823529,0.0052631579,0.0111111111,0.0078947368,0.0048780488,0.008,0.0192982456,0.0344827586
-138,0.0083333333,0.035,0,0.0058823529,0.019047619,0.0192771084,0.0095238095,0,0.0035714286,0.0094339623,0.0125,0.0085106383,0.0113207547,0,0.02,0.0133333333,0.01,0.0174603175,0.0058823529,0.0105263158,0.0079365079,0.0078947368,0.0048780488,0.008,0.0175438596,0.0310344828
-137,0.0041666667,0.035,0,0.0058823529,0.019047619,0.0204819277,0.0095238095,0,0.0035714286,0.0132075472,0.0104166667,0.0106382979,0.0113207547,0,0.02,0.0133333333,0.01,0.0158730159,0.0058823529,0.0105263158,0.0079365079,0.0078947368,0.0048780488,0.008,0.0157894737,0.0379310345
-136,0.0083333333,0.05,0,0.0058823529,0.0238095238,0.021686747,0.0095238095,0,0.0035714286,0.0150943396,0.0104166667,0.0106382979,0.0113207547,0.0021276596,0.02,0.0133333333,0.01,0.0174603175,0.0058823529,0.0105263158,0.0047619048,0.0052631579,0.0048780488,0.008,0.0157894737,0.0379310345
-135,0.0083333333,0.055,0,0.0058823529,0.0238095238,0.021686747,0.0095238095,0,0.0142857143,0.0132075472,0.0104166667,0.0106382979,0.0113207547,0.0021276596,0.01,0.0133333333,0.01,0.0174603175,0.0058823529,0.0052631579,0.0047619048,0.0052631579,0.0048780488,0.008,0.0192982456,0.0413793103
-134,0.0125,0.05,0,0.0058823529,0.0238095238,0.021686747,0.0079365079,0,0.0142857143,0.0094339623,0.0083333333,0.0106382979,0.0056603774,0.0021276596,0.02,0.0133333333,0.01,0.0158730159,0.0058823529,0.0052631579,0.0047619048,0.0052631579,0.0073170732,0.004,0.0210526316,0.0482758621
-133,0.0166666667,0.05,0,0.0058823529,0.0238095238,0.0192771084,0.0063492063,0,0.0178571429,0.0094339623,0.0104166667,0.0063829787,0.0075471698,0.0021276596,0.02,0.0133333333,0.01,0.0126984127,0.0058823529,0.0105263158,0.0047619048,0.0052631579,0.0073170732,0.004,0.0228070175,0.0448275862
-132,0.0208333333,0.05,0.0111111111,0.0058823529,0.019047619,0.0180722892,0.0047619048,0,0.025,0.0075471698,0.0145833333,0.0063829787,0.0113207547,0.0021276596,0.02,0.02,0.01,0.0126984127,0.0058823529,0.0105263158,0.0031746032,0.0026315789,0.0073170732,0.004,0.0228070175,0.0448275862
-131,0.0208333333,0.045,0.0111111111,0,0.0095238095,0.0144578313,0.0047619048,0,0.025,0.0075471698,0.0125,0.0063829787,0.0132075472,0.0021276596,0.01,0.02,0.01,0.0142857143,0.0058823529,0.0105263158,0.0047619048,0.0026315789,0.0073170732,0.008,0.0192982456,0.0448275862
-130,0.0208333333,0.04,0.0166666667,0,0.0095238095,0.0156626506,0.0047619048,0,0.025,0.0094339623,0.0145833333,0.0042553191,0.0113207547,0.0021276596,0.02,0.02,0.01,0.0142857143,0.0058823529,0.0105263158,0.0063492063,0.0026315789,0.0073170732,0.004,0.0175438596,0.0413793103
-129,0.025,0.04,0.0222222222,0,0.0095238095,0.013253012,0.0063492063,0.02,0.025,0.0113207547,0.0166666667,0.0021276596,0.0113207547,0.0021276596,0.02,0.0133333333,0,0.0174603175,0,0.0105263158,0.0047619048,0.0026315789,0.0073170732,0.004,0.0245614035,0.0275862069
-128,0.025,0.05,0.0222222222,0,0.0047619048,0.0168674699,0.0063492063,0.02,0.0285714286,0.0113207547,0.0145833333,0.0021276596,0.0113207547,0.0021276596,0.02,0.0133333333,0,0.0158730159,0,0.0052631579,0.0047619048,0.0026315789,0.0048780488,0.004,0.0245614035,0.0275862069
-127,0.025,0.05,0.0277777778,0,0.0142857143,0.013253012,0.0095238095,0.02,0.0285714286,0.0075471698,0.0166666667,0,0.0113207547,0.0021276596,0.02,0.0133333333,0,0.0158730159,0,0.0052631579,0.0047619048,0.0026315789,0.0024390244,0.004,0.0245614035,0.0206896552
-126,0.0208333333,0.04,0.0277777778,0,0.0142857143,0.0120481928,0.0111111111,0.02,0.025,0.0056603774,0.0166666667,0.0021276596,0.0113207547,0,0.02,0.0066666667,0,0.0158730159,0,0.0052631579,0.0047619048,0.0026315789,0.0024390244,0.004,0.0263157895,0.0206896552
-125,0.025,0.035,0.0277777778,0,0.0142857143,0.013253012,0.0095238095,0.02,0.0142857143,0.0056603774,0.0166666667,0.0021276596,0.0113207547,0,0.03,0.0066666667,0,0.0142857143,0,0.0052631579,0.0047619048,0.0026315789,0.0048780488,0.004,0.0228070175,0.0172413793
-124,0.0166666667,0.035,0.0277777778,0,0.0142857143,0.013253012,0.0111111111,0.02,0.0142857143,0.0056603774,0.0166666667,0.0021276596,0.0113207547,0,0.02,0.0066666667,0,0.0126984127,0,0.0052631579,0.0079365079,0,0.0024390244,0.008,0.0228070175,0.0137931034
-123,0.0125,0.035,0.0277777778,0,0.0142857143,0.0144578313,0.0111111111,0.02,0.0107142857,0.0056603774,0.0166666667,0.0042553191,0.0094339623,0,0.02,0.0133333333,0,0.0142857143,0,0,0.0063492063,0.0026315789,0.0024390244,0.008,0.0228070175,0.0137931034
-122,0.0125,0.03,0.0166666667,0,0.0238095238,0.0156626506,0.0111111111,0.02,0.0071428571,0.0094339623,0.0125,0.0042553191,0.0056603774,0,0.02,0.0066666667,0,0.0174603175,0,0,0.0063492063,0.0026315789,0.0024390244,0.008,0.0228070175,0.0137931034
-121,0.0125,0.025,0.0222222222,0.0058823529,0.0238095238,0.013253012,0.0111111111,0.02,0.0107142857,0.0094339623,0.0166666667,0.0042553191,0.0018867925,0,0.02,0.0066666667,0.01,0.0158730159,0,0,0.0079365079,0.0026315789,0.0024390244,0.004,0.0210526316,0.0068965517
-120,0.0125,0.025,0.0277777778,0.0058823529,0.0238095238,0.0120481928,0.0126984127,0.02,0.0142857143,0.0075471698,0.0145833333,0.0042553191,0.0018867925,0,0.01,0.0066666667,0.01,0.0142857143,0,0,0.0063492063,0.0026315789,0.0024390244,0.004,0.0228070175,0.0068965517
-119,0.0125,0.03,0.0222222222,0.0058823529,0.0238095238,0.013253012,0.0111111111,0,0.0214285714,0.0056603774,0.0145833333,0.0085106383,0.0018867925,0,0.03,0.0066666667,0.01,0.0095238095,0,0,0.0095238095,0.0026315789,0.0024390244,0.008,0.0157894737,0.0172413793
-118,0.0166666667,0.02,0.0277777778,0.0058823529,0.0238095238,0.0084337349,0.0142857143,0,0.0178571429,0.0056603774,0.0125,0.0085106383,0.0018867925,0,0.03,0.0066666667,0.01,0.0111111111,0,0,0.0095238095,0.0026315789,0.0024390244,0.008,0.0175438596,0.0206896552
-117,0.0208333333,0.025,0.0277777778,0.0058823529,0.0142857143,0.0108433735,0.0111111111,0,0.0214285714,0.0075471698,0.0125,0.0106382979,0.0037735849,0,0.04,0.0066666667,0.01,0.0111111111,0,0,0.0126984127,0.0026315789,0.0048780488,0.008,0.0175438596,0.0275862069
-116,0.025,0.025,0.0333333333,0.0058823529,0.0095238095,0.0120481928,0.0095238095,0,0.0214285714,0.0075471698,0.01875,0.0085106383,0.0056603774,0,0.04,0.0066666667,0.01,0.0111111111,0,0.0052631579,0.0126984127,0.0026315789,0.0048780488,0.008,0.0157894737,0.0344827586
-115,0.0208333333,0.025,0.0333333333,0.0058823529,0.0095238095,0.0108433735,0.0095238095,0,0.0214285714,0.0075471698,0.025,0.0085106383,0.0056603774,0,0.03,0.0066666667,0.01,0.0126984127,0,0.0105263158,0.0126984127,0.0026315789,0.0048780488,0.012,0.0175438596,0.0379310345
-114,0.0208333333,0.02,0.0388888889,0.0058823529,0.0095238095,0.013253012,0.0079365079,0,0.0285714286,0.0075471698,0.0229166667,0.0085106383,0.0037735849,0,0.03,0.0066666667,0.01,0.0126984127,0,0.0105263158,0.0095238095,0.0026315789,0.0073170732,0.016,0.0157894737,0.0413793103
-113,0.0208333333,0.02,0.0388888889,0.0058823529,0.0095238095,0.0144578313,0.0079365079,0,0.0357142857,0.0075471698,0.0270833333,0.0063829787,0.0056603774,0,0.03,0,0.01,0.0126984127,0,0.0105263158,0.0095238095,0,0.0097560976,0.02,0.0192982456,0.0413793103
-112,0.0208333333,0.02,0.0388888889,0.0058823529,0.0047619048,0.0180722892,0.0079365079,0,0.0321428571,0.0018867925,0.0291666667,0.0063829787,0.0075471698,0,0.04,0,0.01,0.0079365079,0,0.0105263158,0.0111111111,0,0.0097560976,0.028,0.0175438596,0.0413793103
-111,0.0208333333,0.02,0.0388888889,0,0.0047619048,0.0192771084,0.0079365079,0,0.0285714286,0.0018867925,0.0291666667,0.0063829787,0.0113207547,0,0.04,0,0,0.0095238095,0,0.0105263158,0.0079365079,0,0.012195122,0.036,0.0245614035,0.0448275862
-110,0.0208333333,0.03,0.0333333333,0,0.0047619048,0.021686747,0.0079365079,0,0.025,0.0037735849,0.0291666667,0.0085106383,0.0113207547,0,0.04,0,0,0.0095238095,0,0.0105263158,0.0095238095,0,0.012195122,0.036,0.0210526316,0.0482758621
-109,0.0208333333,0.03,0.0333333333,0,0.0047619048,0.0204819277,0.0095238095,0,0.0178571429,0.0037735849,0.0291666667,0.0063829787,0.0132075472,0,0.02,0,0,0.0095238095,0,0.0105263158,0.0063492063,0,0.0146341463,0.036,0.0192982456,0.0413793103
-108,0.0166666667,0.04,0.0277777778,0,0.0095238095,0.0240963855,0.0063492063,0,0.0178571429,0.0075471698,0.0333333333,0.0063829787,0.0132075472,0,0.02,0,0,0.0095238095,0,0.0157894737,0.0063492063,0,0.0146341463,0.04,0.0157894737,0.0448275862
-107,0.0166666667,0.04,0.0222222222,0,0.0095238095,0.0240963855,0.0063492063,0,0.0178571429,0.0056603774,0.0333333333,0.0085106383,0.0150943396,0,0.01,0,0,0.0111111111,0,0.0157894737,0.0031746032,0,0.012195122,0.04,0.0175438596,0.0448275862
-106,0.0166666667,0.035,0.0166666667,0,0.0142857143,0.0289156627,0.0047619048,0,0.0178571429,0.0075471698,0.0354166667,0.0085106383,0.0150943396,0,0.01,0,0,0.0095238095,0,0.0210526316,0.0047619048,0,0.012195122,0.044,0.0175438596,0.0413793103
-105,0.0208333333,0.045,0.0166666667,0.0058823529,0.0142857143,0.0289156627,0.0063492063,0,0.0178571429,0.0075471698,0.03125,0.0085106383,0.0169811321,0,0.02,0,0.01,0.0095238095,0,0.0157894737,0.0047619048,0,0.012195122,0.044,0.0175438596,0.0413793103
-104,0.0208333333,0.05,0.0111111111,0.0058823529,0.019047619,0.0277108434,0.0095238095,0,0.0107142857,0.0075471698,0.0333333333,0.0085106383,0.0169811321,0,0.02,0,0.01,0.0111111111,0.0058823529,0.0157894737,0.0063492063,0,0.0097560976,0.04,0.0192982456,0.0413793103
-103,0.0291666667,0.065,0.0111111111,0.0058823529,0.019047619,0.0265060241,0.0079365079,0,0.0071428571,0.0113207547,0.0270833333,0.0085106383,0.020754717,0,0.02,0.0066666667,0.01,0.0095238095,0.0058823529,0.0210526316,0.0063492063,0,0.0073170732,0.036,0.0140350877,0.0413793103
